fullVisitorId,type,date,visitnumber,visitstarttime,session_duration,country,channel,campaign,keyword,source,medium,device,currency,sale_type,navBar_chat_icon,started_chat,navBar_our_cars,navBar_open_menu,clicked_in_menu,signed_in,cdp_back_link,cdp_floating_cta,cdp_view_all_features,cdp_expand_accordion,cdp_semiConductor_info,cdp_main_cta,cdp_customise_car,cdp_footer_info,cdp_request_callback
3957294421914786147,order_submit,2022-02-09,107,1644399118,1340,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-09,111,1644429056,281,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
3957294421914786147,order_submit,2022-01-11,1,1641912675,367,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-12,2,1641987235,161,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3957294421914786147,order_submit,2022-01-13,11,1642092715,1355,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-13,10,1642092596,91,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-13,8,1642084154,4518,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-13,6,1642071537,356,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
3957294421914786147,order_submit,2022-01-13,4,1642065642,210,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-13,5,1642071237,258,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3957294421914786147,order_submit,2022-01-14,15,1642173542,411,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-14,14,1642159866,2742,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-14,16,1642174002,1500,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-01-15,20,1642250288,2010,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3957294421914786147,order_submit,2022-01-15,19,1642246040,161,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3957294421914786147,order_submit,2022-01-15,21,1642256101,76,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3957294421914786147,order_submit,2022-01-18,24,1642520761,1189,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-19,28,1642590288,10381,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-19,29,1642603293,4176,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-01-19,26,1642582963,360,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
